Term,Definition
📏 Security baseline,Standard security configuration - Minimum security requirements - Consistent across organization - Based on industry standards
📚 Baseline sources,CIS (Center for Internet Security) Benchmarks - NIST guidelines - STIGs (Security Technical Implementation Guides) - Vendor recommendations - Industry best practices
⚙️ Configuration management,Document current state - Define desired state - Track changes over time - Version control
💿 Image deployment,Golden images - Automated deployment - Consistent configuration - Rapid provisioning
⚠️ Baseline deviation,Detect unauthorized changes - Configuration drift - Compliance monitoring - Remediation procedures
📱 Mobile security controls,Screen lock and password - Encryption - Remote wipe capability - App controls
📲 Mobile Device Management (MDM),Centralized management - Policy enforcement - Application management - Device inventory
🔀 Deployment models,BYOD (Bring Your Own Device) - COPE (Corporate Owned, Personally Enabled) - CYOD (Choose Your Own Device) - Corporate-owned devices
💻 OS hardening,Remove unnecessary services - Disable unused features - Apply security patches - Enable firewall
📦 Application hardening,Keep applications updated - Remove unused applications - Configure securely - Principle of least privilege
🖥️ Server security,Minimize installed software - Close unnecessary ports - Strong authentication - Regular patching
⚙️ Service configuration,Disable default accounts - Change default passwords - Secure protocols only - Access controls
🔌 Embedded system security,Firmware updates - Change default credentials - Network segmentation - Physical security
🌐 IoT hardening,Unique passwords per device - Disable unnecessary features - Network isolation - Regular updates
🏭 SCADA/ICS hardening,Air-gapped networks - Limited remote access - Physical security controls - Specialized security tools
⛔ WEP (Wired Equivalent Privacy),Deprecated and insecure - Easily cracked - Never use
🔓 WPA (Wi-Fi Protected Access),TKIP encryption - Better than WEP - Still vulnerable
🔒 WPA2,AES encryption (CCMP) - Strong security - Current standard - Personal and Enterprise modes
🔐 WPA3,Enhanced encryption - SAE (Simultaneous Authentication of Equals) - Forward secrecy - Protection against offline attacks - Personal and Enterprise modes
🔑 Pre-Shared Key (PSK),WPA2-Personal / WPA3-Personal - Shared password - Simpler deployment - Less secure for enterprise
🏢 Enterprise authentication,WPA2-Enterprise / WPA3-Enterprise - 802.1X authentication - RADIUS server - Individual user credentials
🔐 AAA Framework,Authentication: Prove identity - Authorization: Grant access - Accounting: Track usage - RADIUS and TACACS+ protocols
🔑 EAP methods,EAP-TLS (certificate-based) - PEAP (Protected EAP) - EAP-TTLS (Tunneled TLS) - EAP-FAST (Flexible Authentication via Secure Tunneling)
📡 SSID management,Change default SSID - Hide SSID broadcast (security through obscurity) - Multiple SSIDs for segmentation
🏷️ MAC filtering (wireless),Whitelist approved devices - Easily spoofed - Administrative overhead - Additional layer only
⚠️ Wi-Fi Protected Setup (WPS),Easy setup feature - Security vulnerability - PIN brute force attack - Should be disabled
📡 Site survey process,Identify coverage areas - Detect interference - Optimize AP placement - Identify rogue APs
🗺️ Heat mapping,Visual coverage representation - Signal strength mapping - Dead zones identification - Overlap planning
📶 Mobile connection methods,Cellular (4G, 5G) - Wi-Fi - Bluetooth - NFC (Near Field Communication)
🔒 Mobile security features,Biometric authentication - Device encryption - Remote wipe - GPS tracking - Containerization
📱 Mobile application security,App vetting process - Official app stores only - Permission management - App sandboxing
📍 Geofencing,Geographic boundaries - Location-based policies - Restrict access by location - Compliance enforcement
📱 BYOD policies,Acceptable use - Security requirements - Data ownership - Privacy concerns
📦 Containerization,Separate personal and work data - Corporate data protection - Selective wipe capability - App isolation
✅ Input validation,Sanitize user input - Whitelist validation - Prevent injection attacks - Length and type checking
🍪 Secure cookies,HttpOnly flag - Secure flag (HTTPS only) - SameSite attribute - Expiration timeouts
📝 Static code analysis,Review source code - Automated scanning - Find vulnerabilities early - Before deployment
🔄 Dynamic code analysis,Runtime testing - Fuzzing - Penetration testing - Production-like environment
✍️ Code signing,Verify software integrity - Confirm publisher identity - Digital signatures - Certificate-based
📦 Sandboxing,Isolated execution environment - Limited access to system - Test suspicious code - Malware analysis
📊 Monitoring (application),Application logs - Performance metrics - Security events - Anomaly detection
📋 Asset inventory,Hardware assets - Software assets - Data assets - Digital assets
🔍 Inventory systems,Automated discovery - Manual tracking - Asset tags and barcodes - RFID tracking
🏷️ Asset classification,Criticality rating - Sensitivity level - Business value - Replacement cost
🛒 Procurement process,Vendor selection - Security requirements - Contract terms - Supply chain security
🔄 Asset lifecycle,Acquisition - Deployment - Maintenance - Retirement/disposal
👤 Assignment and ownership,User assignment - Department allocation - Custodian responsibility - Change tracking
🗑️ Data destruction methods,Overwriting - Degaussing - Physical destruction - Cryptographic erasure
📏 Sanitization standards,NIST SP 800-88 - DoD 5220.22-M - Multiple pass overwrite - Verification required
💥 Physical destruction,Shredding - Pulverizing - Incineration - Certificate of destruction
♻️ Secure disposal,Data wiping - Physical destruction - Environmental concerns - Recycling programs
📄 Certificate of destruction,Proof of proper disposal - Audit trail - Compliance requirement - Third-party verification
🔍 Vulnerability scanner,Automated security testing - Identify known vulnerabilities - Regular scanning schedule - Continuous monitoring
📡 Scanning types,Network scanning - Application scanning - Database scanning - Web application scanning
⏰ Scanning frequency,Scheduled scans (daily, weekly, monthly) - On-demand scans - Continuous scanning - After changes
🔑 Credentialed vs. non-credentialed,Credentialed: Authenticated access, deeper scan - Non-credentialed: External perspective - Both provide value - Different vulnerability visibility
🖥️ Agent-based vs. agent-less,Agent-based: Software on target - Agent-less: Network-based scanning - Trade-offs in coverage and performance
👀 Passive vs. active scanning,Passive: Monitor traffic, no interaction - Active: Probe systems directly - Passive less intrusive - Active more comprehensive
🎯 Scope definition,IP ranges - Asset lists - Exclusions - Scan windows
⚙️ Scan sensitivity,Intrusive vs. non-intrusive - Production impact - False positive rate - Compliance requirements
📚 Vulnerability databases,CVE (Common Vulnerabilities and Exposures) - NVD (National Vulnerability Database) - Vendor advisories - Security research
📊 CVSS (Common Vulnerability Scoring System),Severity rating (0-10) - Base score, temporal score, environmental score - Critical, High, Medium, Low - Prioritization tool
🏷️ Vulnerability categorization,By severity - By asset criticality - By exploitability - By business impact
⚠️ False positives,Incorrectly identified vulnerabilities - Verify findings - Tune scanner - Document exceptions
❌ False negatives,Missed vulnerabilities - Scanner limitations - Configuration issues - Validation testing
✅ Validation,Confirm vulnerabilities - Reproduce findings - Assess exploitability - Determine impact
📄 Vulnerability reports,Executive summary - Technical details - Affected systems - Remediation recommendations
⚖️ Risk assessment,Likelihood of exploit - Potential impact - Business context - Risk prioritization
🔧 Patching,Apply security patches - Vendor updates - Testing before deployment - Emergency patches
⚙️ Configuration changes,Harden settings - Remove unnecessary services - Update credentials - Apply baselines
🛡️ Compensating controls,Alternative mitigations - When patching not possible - Temporary measures - Risk acceptance
🔀 Isolation/segmentation,Network segmentation - VLAN separation - Quarantine systems - Air gaps
